Artist,Title
Ace,How Long
Alanis Morissette,Thank U
Atomic Kittens,Tide is High
Ava Max,Sweet but Psycho
Belinda Carlisle,Mad About You
Billie Eilish,everything i wanted
Black Sabbath,Bloody Sabbath
Bon Jovi,Livin' On A Prayer
Brett Young,In Case You Didnt Know
Bryan Adams,Summer Of 69
Camila Cabello,My Oh My
Carrie Underwood,Ghost Story
Cher,Gypsys Tramps and Thieves
Cinderella,Dont Know What You Got Till Its Gone
Cupid,Cupid Shuffle
David J,Lost My Heartbreak
Dean Martin,Ain't That a Kick in the Head
Diana Ross,I Will Survive
Dua Lipa,Levitating
Ed Sheeran,Shivers
En Vogue,Whatta Man
Flo Rida,Wild Ones
Gwyneth Paltrow & Huey Lewis,Cruisin
Hall and Oates,I Cant Go For That
Harry Styles,Adore You
Inner Circle,Bad Boys
Jason Derulo,Whatcha Say
Jimmy Eat World,The Middle
Joan Jett,I Hate Myself for Loving You
Journey,Any Way You Want It
Kate Bush,Wuthering Heights
Laura Branigan,Gloria
Lil Nas X,Old Town Road
Loverboy,Working for the Weekend
Luke Combs,When It Rains It Pours
Maroon 5,Nobodys Love
Men At Work,Down Under
Michael Jackson,Beat It
Midnight Oil,Beds Are Burning
Nelly Furtado,Im Like A Bird
Nickelback,How You Remind Me
Oliver Tree,The Internet
One Direction,Story of My Life
OutKast,Ms. Jackson
Paramore,Misery Business
Phil Collins,Another Day In Paradise
Post Malone,Congratulations
Queen,Under Pressure
Rihanna,We Found Love
Scorpions,Rock You Like A Hurricane
Senses Fail,Can't Be Saved
Shawn Mendes,Summer Of Love
Sheryl Crow,All I Wanna Do
Silk Sonic,Leave the Door Open
Steve Miller Band,Abracadabra
Sublime,Santeria
Sugarland,Stuck Like Glue
The Beatles,Get Back
The Bellas,Don't You Forget About Me
The Corrs,So Young
The Lovin' Spoonful,Summer In The City
The Monotones,Book Of Love
The Rolling Stones,Sympathy For The Devil
The Soggy Bottom Boys,Man of Constant Sorrow
Tommy Roe,Dizzy
Tony Orlando & Dawn,Tie A Yellow Ribbon
twenty one pilots,Stressed Out
U2,Sunday Bloody Sunday
Uncle Kracker,Drift Away
Usher,OMG
Walk off the Earth,Royals
Weezer,Island In The Sun
Whitney Houston,I'm Every Woman
YUNGBLUD,hope for the underrated youth
ZZ Top,TV Dinners
