Artist,Title
24kGoldn,Mood
ACDC,Back In Black
Air Supply,Lost In Love
Alessia Cara,Stay
Asia,Heat Of The Moment
Autograph,Turn Up the Radio
Ava Max,The Motto
Avril Lavigne,Sk8er Boi
Billie Eilish,bad guy
Billy Idol,Eyes Without A Face
Blur,Coffee and TV
Bon Jovi,It's My Life
Brad Paisley,Remind Me
Britney Spears,Circus
Bruno Mars,When I Was Your Man
Camila Cabello,Don't Go Yet
Carrie Underwood,Church Bells
Charlie Puth,See You Again
Cher,It's In His Kiss
Ciara,Oh
Colbie Caillat,We Both Know
Coldplay,The Scientist
Dan + Shay,"10,000 Hours"
David Hasselhoff,True Survivor
Demi Lovato,OK Not To Be OK
Destiny's Child,Lose My Breath
Diana Ross,Why Do Fools Fall In Love
Dobie Gray,Drift Away
Dua Lipa,Don't Start Now
Duran Duran,Rio
Eddie Murphy,Party All the Time
Empire Of The Sun,Walking On A Dream
Fall Out Boy,"Dance, Dance"
Foreigner,Cold As Ice
Gwen Stefani,The Sweet Escape
Hailee Steinfeld,Love Myself
Hall and Oates,Private Eyes
Halsey,I Am Not a Woman I'm a God
Hermans Hermits,I'm Into Something Good
Idina Menzel,Into the Unknown
Iron Maiden,The Number Of The Beast
Jennifer Lopez,Jenny from the Block
Jethro Tull,Aqualung
Joan Jett,I Love Rock 'N Roll
John Denver,"Take Me Home, Country Roads"
Jonas Brothers,Sucker
Justin Bieber,Anyone
Kelly Rowland,Dilemma
Lady Gaga,Paparazzi
Lewis Capaldi,Someone You Loved
Linkin Park,Numb
Luke Combs,Beer Never Broke My Heart
Macy Gray,I Try
Mariah Carey,Fantasy
Maroon 5,One More Night
Maxine Nightingale,Right Back Where We Started From
Michael Bublé,Me and Mrs. Jones
Michael Jackson,The Way You Make Me Feel
Milky Chance,Stolen Dance
Neil Sedaka,Breakin' Up Is Hard To Do
Neon Trees,Everybody Talks
Nine Days,Absolutely (Story of a Girl)
Olivia Newton-John,Hopelessly Devoted To You
Olivia Rodrigo,drivers license
Orianthi,According To You
Paula Abdul,Straight Up
Phil Collins,In The Air Tonight
Pink Floyd,Comfortably Numb
Prince,1999
Queen,Killer Queen
Red Hot Chili Peppers,Otherside
Sam Smith,Stay With Me
Semisonic,Closing Time
Shawn Mendes,Treat You Better
Sheryl Crow,If It Makes You Happy
