Artist,Title
3 Doors Down,Let Me Go
Aerosmith,Sweet Emotion
Atlanta Rhythm Section,Spooky
Bastille,Pompeii
Billy Idol,Mony Mony
Billy Ray Cyrus,Achy Breaky Heart
Blake Shelton,Ol' Red
Bon Jovi,You Give Love a Bad Name
Bonnie Tyler,Holding Out For a Hero
Brad Paisley,Mud On The Tires
Bruce Springsteen,Glory Days
Cake,The Distance
Calvin Harris,Summer
Cameo,Word Up
Carly Rae Jepsen,Good Time
Chad Brock,Yes!
Chordettes,Lollipop
Colbie Caillet,Bubbly
Cyndi Lauper,Girls Just Want to Have Fun
Daddy Yankee,Gasolina
Darius Rucker,Alright
Don Felder,Heavy Metal
Don McLean,American Pie
Dua Lipa,New Rules
Dusty Springfield,Son of a Preacher Man
Ed Sheeran,Sing
ELO,Mr. Blue Sky
Elvis Presley,Return to Sender
Enrique Iglesias,Hero
Faith Hill,This Kiss
Flogging Molly,Drunken Lullabies
George Ezra,Blame It on Me
Green Day,American Idiot
Guns N' Roses,Welcome to the Jungle
Heart,These Dreams
Janet Jackson,Escapade
Jason Mraz,I'm Yours
Jennifer Lopez,On the Floor
Josh Groban,Your Raise Me Up
Katy Perry,Roar
Kid Rock,All Summer
Kiesza,Hideaway
Lady Gaga,Telephone
Lana Del Rey,Young and Beautiful
Lee Roy Parnell,On the Road
Leona Lewis,Bleeding Love
Little Mix,Wings
Mariah Carey,Always Be My Baby
Meat Loaf,Two Out of Three Ain't Bad
Meghan Trainor,All About That Bass
Natalie Merchant,Wonder
Neon Trees,Everybody Talks
Nik Kershaw,Wouldn't It Be Good
NSYNC,Tearin' Up My Heart
Phil Vassar,Carlene
Phillip Phillips,Home
Queen,Bohemian Rhapsody
Ram Jam,Black Betty
Rednex,Cotton Eye Joe
Rick James,Super Freak
Rod Stewart,Tonight's the Night
The All-American Rejects,Dirty Little Secret
The Black Eyed Peas,Boom Boom Pow
The Cranberries,Linger
The Kentucky Headhunters,Dumas Walker
The Notorious B.I.G.,Hypnotize
The Ronettes,Be My Baby
The Verve,Bittersweet Symphony
Tim McGraw,It's Your Love
Tom Petty,Free Fallin'
Toto,Africa
Train,"Hey, Soul Sister"
Vanessa Williams,Save the Best For Last
Walk the Moon,Shut Up and Dance
Weezer,Buddy Holly
