Artist,Title
ABBA,S.O.S.
AC/DC,Thunderstruck
Aerosmith,I Don't Want to Miss a Thing
Andy Grammer,Honey I'm Good
Annie Lennox,Walking on Broken Glass
Aqua,Barbie Girl
Ariana Grande,"thank u, next"
Backstreet Boys,Larger Than Life
Belinda Carlisle,Mad About You
Billy Idol,Dancing With Myself
Bow Wow Wow,I Want Candy
Bowling For Soup,Punk Rock 101
Boyz II Men,I'll Make Love To You
Brad Paisley,I'm Gonna Miss Her
Britney Spears,Toxic
Brooks and Dunn,Boot Scootin' Boogie
Bubba Sparxxx,Ms. New Booty
Burak Yeter,Tuesday
Cardi B,Bad Bunny
Carl Douglas,Kung Fu Fighting
Carly Rae Jepsen,Call Me Maybe
Chaka Khan,I'm Every Woman
Charlie Puth,One Call Away
Christina Aguilera,Genie in a Bottle
Coldplay,A Sky Full Of Stars
Creedence Clearwater Revival,Going Up Around the Bend
David Guetta,Titanium
Deana Carter,Strawberry Wine
Demi Lovato,Give Your Heart a Break
Dion & The Belmonts,Runaround Sue
Dolly Parton,9 To 5
Dwight Yoakam,Suspicious Minds
Eagle-Eye Cherry,Save Tonight
Eddie Rabbitt,I Love a Rainy Night
Eiffel 65,Blue
Elle King,Ex's & Oh's
Ellie Goulding,Love Me Like You Do
Elton John,Benny and the Jets
Eurythmics,Sweet Dreams
Everclear,I Will Buy You A New Life
Fastball,The Way
Five for Fighting,100 Years
Fun.,Some Nights
Genesis,I Can't Dance
George Strait,Check Yes Or No
Goo Goo Dolls,Iris
Gretchen Wilson,Here for The Party
Haddaway,What Is Love
Hozier,Take Me To Church
Idina Menzel,Let It Go
INXS,Need You Tonight
Jennifer Lopez,Papi
Kansas,Carry on Wayward Son
Katy Perry,Dark Horse
Kellie Pickler,Red High Heels
Kelly Clarkson,Breakaway
Lady Gaga,Born This Way
Lipps Inc.,Funky Town
Loreena McKennitt,The Mummers' Dance
Maddie & Tae,Fly
Miranda Lambert,The House That Built Me
Natalie Merchant,Carnival
Pat Benatar,Hit Me With Your Best Shot
Patty Loveless,Blame It On Your Lyin' Cheatin' Heart
Quarterflash,Harden My Heart
Roy Orbison,Pretty Woman
SHeDAISY,Little Good-Byes
Smash Mouth,Why Can't We Be Friends
Steve Earle,Copperhead Road
The Beatles,Paperback Writer
The Blues Brothers,Rawhide
The Lost Trailers,Holler Back
The Offspring,The Kids Aren't Alright
The Pussycat Dolls,Buttons
Twisted Sister,Leader of the Pack
