Artist,Title
Aaliyah,Are You That Somebody
Ace of Base,The Sign
Aerosmith,Dude (Looks Like A Lady)
Air Supply,All Out of Love
Alabama,Song of the South
Alan Jackson,It's 5 O'Clock Somewhere
Alannah Myles,Black Velvet
Aly & AJ,Potential Breakup Song
Andrea Bocelli,Time to Say Goodbye
Anna Kendrick,Cups
Arctic Monkeys,Do I Wanna Know
Avril Lavigne,Complicated
Barenaked Ladies,It's All Been Done
Beastie Boys,Intergalactic
Bee Gees,More than a Woman
Billy Haley & His Comets,Rock Around the Clock
Billy Joel,You May Be Right
Blu Cantrell,Hit 'Em Up Style
Blue Swede,Hooked on a Feeling
Blues Traveler,Runaround
Booker T. & The M.G.'s,Green Onions
Britney Spears,Stronger
Buddy Holly & The Crickets,That'll Be The Day
Cage the Elephant,Ain't No Rest for the Wicked
Camila Cabello,Havana
Charlie Puth,We Don't Talk Anymore
Cher,Believe
Coldplay,Hymn for the Weekend
Counting Crows,Mr. Jones
Creed,Higher
Daniel Powter,Bad Day
Dean Martin,That's Amore
Deee-Lite,Groove Is in the Heart
Destiny's Child,Say My Name
Dexy's Midnight Runners,Come on Eileen
Dropkick Murphy's,I'm Shipping Up to Boston
Duffy,Mercy
Ed Sheeran,Thinking Out Loud
Elton John,Tiny Dancer
Fall Out Boy,Centuries
Fitz and The Tantrums,HandClap
Flock of Seagulls,I Ran
Florida Georgia Line,Round Here
Foo Fighters,Learn To Fly
George Michael,Careless Whisper
Glen Campbell,Rhinestone Cowboy
Good Charlotte,Lifestyles of the Rich and Famous
Green Day,Basket Case
Hoobastank,The Reason
James Arthur,Say You Won't Let Go
James Brown,Living In America
Jessie J,Domino
Joe Diffie,Third Rock From The Sun
John Mellencamp,Jack & Diane
Katy Perry,Firework
Kenny Chesney,She Think's My Tractor's Sexy
Lady Gaga,Shallow
LMFAO,Party Rock Anthem
Louis Armstrong,What A Wonderful World
Madonna,Material Girl
Martina McBride,Safe in the Arms of Love
Randy Travis,"Forever and Ever, Amen"
Santana,Smooth
Sixpence None the Richer,Kiss Me
Spice Girls,Wannabe
Taylor Swift,We Are Never Getting Back Together
The Baja Men,Who Let the Dogs Out
The Drifters,On Broadway
The Four Seasons,Working My Way Back to You
The Notorious B.I.G.,Juicy
The Shangri-Las,Leader of the Pack
Third Eye Blind,Semi-Charmed Life
Trace Adkins,Chrome
Wang Chung,Everybody Have Fun Tonight
Yes,Owner of a Lonely Heart
