Artist,Title
ABBA,Waterloo
Aerosmith,Janie's Got A Gun
Avril Lavigne,Girlfriend
Baby Bash,Suga Suga
Backstreet Boys,Shape Of My Heart
Barenaked Ladies,One Week
Beach Boys,Kokomo
Beastie Boys,No Sleep Till Brooklyn
Bebe Rexha,Meant to Be
Bell Biv DeVoe,Poison
Billy Joel,We Didn't Start the Fire
BlackHawk,Every Once In a While
Blake Shelton,Honey Bee
Blink-182,I Miss You
Blondie,The Tide Is High
Boys Like Girls,Two is Better Than One
Bridgit Mendler,Hurricane
Britney Spears,You Drive Me Crazy
Brooks & Dunn,Red Dirt Road
Bruce Springsteen,Dancing In the Dark
Bruno Mars,Grenade
C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now)
Charlie Puth,See You Again
Christina Perri,A Thousand Years
Chubby Checker,Let's Twist Again
Chumbawamba,Tubthumping
Clean Bandit,Rockabye
Clint Black,Killin' Time
Coldplay,Adventure Of A Lifetime
Coolio,Gangsta's Paradise
Crash Test Dummies,Mmm Mmm Mmm Mmm
Cyndi Lauper,Time After Time
Céline Dion,That's The Way It Is
Daft Punk,Digital Love
Damian Marley,Welcome To Jamrock
Darius Rucker,Wagon Wheel
Daughtry,Home
Dave Matthews Band,Crash Into Me
David Lee Roth,Just a Gigolo
Deep Blue Something,Breakfast At Tiffany's
Fun.,We Are Young
Garbage,Stupid Girl
Garth Brooks,Friends In Low Places
Gladys Knight and the Pips,Midnight Train to Georgia
Glenn Frey,You Belong To The City
Goo Goo Dolls,Slide
Guns N' Roses,Sweet Child O' Mine
James Brown,I Feel Good
Joan Osborne,One Of Us
John Legend,All of Me
John Mayer,Say
k.d. lang,Constant Craving
Lady Gaga,Bad Romance
Lonestar,Amazed
Lorde,Royals
Michael Bublé,Home
Miley Cyrus,The Climb
Nickelback,Photograph
Panic! At The Disco,I Write Sins Not Tragedies
Patty Loveless,Hurt Me Bad
Portugal. The Man,Feel It Still
Sara Bareilles,Love Song
Shania Twain,That Don't Impress Me Much
Smash Mouth,Walkin' On The Sun
Stray Cats,Rock This Town
The Black Eyed Peas,I Gotta Feeling
The Buggles,Video Killed the Radio Star
The Chainsmokers,Don't Let Me Down
The Foundations,Build Me Up Buttercup
The Kingsmen,Louie Louie
The Little Mermaid,Under the Sea
The Rolling Stones,Satisfaction
Warren Zevon,Werewolves Of London
Wild Cherry,Play That Funky Music
Yvonne Elliman,If I Can't Have You
