Artist,Title
Bryan Adams,Summer of '69
Del Shannon,Runaway
Ed Sheeran,Shape of You
Ellie Goulding,Lights
Elton John,I Guess...The Blues
Eric Clapton,I Shot the Sheriff
Fall Out Boy,Uma Thurman
Far East Movement,Like A G6
Fergie,Big Girls Don't Cry
Fifth Harmony,Work From Home
Fiona Apple,Criminal
Fountains of Wayne,Stacy's Mom
George Ezra,Budapest
Go West,King of Wishful Thinking
Gorillaz,Feel Good Inc.
Green Day,Boulevard of Broken Dreams
Heart,Barracuda
Hinder,Lips of an Angel
Jackson Browne,Somebody's Baby
Jessie J,Bang Bang
Jet,Are You Gonna Be My Girl
Jo Dee Messina,Burn
John Newman,Love Me Again
Juice Newton,Queen of Hearts
Justin Timberlake,Can't Stop the Feeling
Ke$ha,Die Young
Kelly Clarkson,Stronger
Kim Carnes,Bette Davis Eyes
Los del Rio,Macarena
Lou Bega,Mambo No. 5
Luke Bryan,I Don't Want This Night to End
Madonna,Papa Don't Preach
Maroon 5,Sugar
Metro Station,Shake It
Michael Jackson,Bad
Natasha Bedingfield,Unwritten
Nathaniel Rateliff,I Need Never Get Old
Neal McCoy,The Shake
Nico & Vinz,Am I Wrong
OMC,How Bizarre
Paul McCartney,Silly Love Songs
PSY,Gangnam Style
Queen,You're My Best Friend
R.E.M.,Shiny Happy People
Rascall Flatts,Life is a Highway
Reba McEntire,Fancy
Rihanna,This is What Your Came For
Robin Thicke,Blurred Lines
Sam Hunt,House Party
Savage Garden,Affirmation
Shania Twain,Up!
Shawn Mendes,Stitches
Shelley Fabares,Johnny Angel
Sheppard,Geronimo
Smashmouth,I'm a Believer
Smokey Robinson,Tears of a Clown
Snow Patrol,Chasing Cars
Sonny and Cher,I Got You Babe
Starship,We Built This City
Steve Martin,King Tut
Steve Winwood,Back in the High Life Again
Supertramp,The Logical Song
Tal Bachman,She's So High
Taylor Swift,You Belong with Me
Tears for Fears,Everybody Wants to Rule the World
The Blues Brothers,Sweet Home Chicago
The Outfield,Your Love
The Proclaimers,I'm Gonna Be (500 Miles)
The Rolling Stones,Under My Thumb
The Weeknd,Can't Feel My Face
Toby Keith,Beer for My Horses
Tracy Byrd,Ten Rounds with Jose Cuervo
Trisha Yearwood,She's in Love With the Boy
Village People,In The Navy
X Ambassadors,Renegades
