Artist,Title
38 Special,Hold On Loosely
a-ha,Take On Me
Alphaville,Forever Young
Audioslave,Like a Stone
Bee Gees,You Should Be Dancing
Billie Eilish,Ocean Eyes
Bo Burnham,Jeff Bezos
Boy Meets Girl,Waiting for a Star to Fall
Britney Spears and Elton John,Hold Me Closer
Camila Cabello,Bam Bam
Carrie Underwood,Dirty Laundry
Chubby Checker,Lets Twist Again
Clean Bandit,Rather Be
Colin Raye,I Think About You
Daughtry,Life After You
Desiigner,Panda
Dire Straits,Sultans Of Swing
Dr Hook,Sharing The Night Together
Dwight Yoakam,A Thousand Miles From Nowhere
Em Beihold,Numb Little Bug
Fleetwood Mac,Everywhere
George Michael,Careless Whisper
Hailee Steinfeld,Most Girls
Handsome Ghost,Fool
Hugh Jackman,The Greatest Show
J. Geils Band,Centerfold
Jerry Lee Lewis,Great Balls Of Fire
John Denver,Rocky Mountain High
Journey,Open Arms
Kesha,Blah Blah Blah
Lee Brice,I Drive Your Truck
Little Richard,Long Tall Sally
Madonna,Like A Prayer
Marshall Crenshaw,Whenever You're On My Mind
Metallica,The Unforgiven
Michelle Branch,All You Wanted
Mr. Mister,Broken Wings
Nicolette Larson,I Only Want To Be With You
Olivia Newton John,You're the One That I Want
OneRepublic,I Ain't Worried
P!nk,Stupid Girls
Paula Abdul,Opposites Attract
Portugal. The Man,"What, Me Worry"
Prince,Raspberry Beret
Ray Parker Jr.,Ghostbusters
Rob Thomas,Hold On Forever
Sean Kingston,Eenie Meenie
Shaggy,Angel
Shawn Mendes Camila Cabello,Señorita
Sia,Cheap Thrills
Simple Plan,I'm Just A Kid
Sugarhill Gang,Rapper's Delight
Survivor,High On You
T-Pain,Buy U A Drank
Taylor Swift,Blank Space
The B52s,Roam
The Bangles,Manic Monday
The Beatles,I Feel Fine
The Byrds,Mr Tambourine Man
The Corrs,Summer Sunshine
The Mamas and The Papas,California Dreamin
The Rolling Stones,Start Me Up
The Smashing Pumpkins,1979
The Weeknd,Take My Breath
Tiffany,I Think We're Alone Now
TONES AND I,Dance Monkey
Trapt,Headstrong
twenty one pilots,Ride
U2,I Still Haven't Found What I'm Looking For
Uncle Kracker,Smile
Usher,Yeah
Vicki Lawrence,The Night the Lights Went Out in Georgia
Weezer,Beverly Hills
Whitney Houston,I Wanna Dance With Somebody
Yes,Roundabout
