Artist,Title
Alan Jackson,Chattahoochee
Aretha Franklin,Think
B.o.B,Airplanes
Baha Men,Who Let The Dogs Out
Beach Boys,Surfin USA
Beastie Boys,(You Gotta) Fight For Your Right (To Party)
Billy Idol,White Wedding
blink-182,All The Small Things
Blondie,Heart of Glass
Bloodhound Gang,The Bad Touch
Bonnie Tyler,Total Eclipse of the Heart
Britney Spears,Baby One More Time
Bruno Mars,Uptown Funk
Charlie Daniels Band,Devil Went Down to Georgia
Chic,Le Freak
Collin Raye,On The Verge
"Crosby, Stills & Nash",Woodstock
Daft Punk,Instant Crush
David Bowie,Let's Dance
Death Cab for Cutie,Soul Meets Body
Deep Purple,Smoke On The Water
"Earth, Wind & Fire",September
Ed Sheeran,Perfect
Edwin McCain,I'll Be
En Vogue,My Lovin' You're Never Gonna Get It
Eric Prydz,Call On Me
Eve 6,Inside Out
Faith No More,Epic
Fats Domino,Blueberry Hill
Fleetwood Mac,Go Your Own Way
Franz Ferdinand,Take Me Out
Good Charlotte,The Anthem
Gwen Stefani,Hollaback Girl
Hall & Oates,Maneater
Imagine Dragons,Thunder
Jason Derulo,Want to Want Me
Jo Dee Messina,Bye Bye
Journey,Don't Stop Believin'
Kathy Mattea,Asking Us To Dance
Keith Urban,Cop Car
Keith Whitley,When You Say Nothing at All
Kenny Loggins,Danger Zone
Kool and the Gang,Jungle Boogie
Lady Antebellum,Downtown
Lisa Loeb,Stay
Lynyrd Skynyrd,Sweet Home Alabama
Martha & The Vandellas,Dancing in the Streets
Martin Garrix,Animals
MC Hammer,2 Legit 2 Quit
Meat Loaf,I'd Do Anything For Love
Metallica,Nothing Else Matters
Michael Bolton,How Am I Supposed To Live Without You
Michael Jackson,Billie Jean
Mungo Jerry,In the summertime
MO,Lean On
Natalie Imbruglia,Torn
New Edition,Candy Girl
Nirvana,Smells Like Teen Spirit
NSYNC,Bye Bye Bye
One Republic,Counting Stars
Passenger,Let Her Go
Paul Simon,You Can Call Me Al
Ray Charles,Hit the road Jack!
Shakira,Waka Waka
Shenandoah,"Next To You, Next To Me"
Suzy Bogguss,Hey Cinderella
The Black Eyed Peas,Let's Get It Started
The Go-Gos,Our Lips Are Sealed
The Jackson 5,I Want You Back
The Lumineers,Ho Hey
The Monkees,I'm a Believer
The Oak Ridge Boys,Elvira
The Pussycat Dolls,I Hate This Part
The Traveling Wilburys,End Of The Line
The Who,Baba O'Riley
